,subj
0,178950
1,189450
2,199453
3,209228
4,220721
5,298455
6,356948
7,419239
8,499566
9,561444
10,618952
11,680452
12,757764
13,841349
14,908860
15,103818
16,113922
17,121618
18,130619
19,137229
20,151829
21,158035
22,171633
23,179346
24,190031
25,200008
26,210112
27,221319
28,299154
29,361234
30,424939
31,500222
32,570243
33,622236
34,687163
35,769064
36,845458
37,911849
38,104416
39,114217
40,122317
41,130720
42,137532
43,151930
44,159744
45,172029
46,180230
47,191235
48,200614
49,211316
50,228434
51,300618
52,361941
53,432332
54,513130
55,571144
56,623844
57,692964
58,773257
59,857263
60,926862
61,105014
62,114419
63,122822
64,130821
65,137633
66,152427
67,160123
68,172938
69,180432
70,192035
71,200917
72,211417
73,239944
74,303119
75,365343
76,436239
77,513736
78,579665
79,638049
80,702133
82,865363
83,930449
84,106521
85,114823
86,123521
87,130922
88,137936
89,152831
90,160729
91,173334
92,180533
93,192136
94,201111
95,211619
96,249947
97,305830
98,366042
99,436845
100,516742
101,580650
102,645450
103,715041
104,782561
105,871762
106,942658
107,106824
108,117021
109,123925
110,131823
111,138332
112,153025
113,162026
114,173536
115,180735
116,192439
117,201414
118,211821
119,251833
120,310621
121,371843
122,445543
123,519950
124,580751
125,647858
126,720337
127,800941
128,871964
129,955465
130,107018
131,117122
132,125222
133,132017
134,138837
135,153227
136,162329
137,173637
138,180937
139,193239
140,201818
141,211922
142,257542
143,314225
144,378857
145,454140
146,523032
147,585862
148,654350
149,725751
150,803240
151,872562
152,959574
153,107422
154,117324
155,125424
156,133827
157,142828
158,153631
159,164030
160,173940
161,182739
162,194140
163,202719
164,212015
165,257845
166,316633
167,381543
168,459453
169,525541
170,586460
171,654754
172,727553
173,812746
174,873968
175,966975
